feature	tree	folds	randomTreebagSeed	avgTrainLoss	avgTestLoss	avgOobLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime	avgPredictTime
2	50	2	1	0.0055	0.0679	0.1257	0.9528	0.9523	0.9526	0.9524	3200	22.9200	0.7000
2	50	3	2	0.0053	0.0624	0.1249	0.9576	0.9573	0.9575	0.9574	3200	32.6600	0.7100
2	50	5	3	0.0053	0.0630	0.1261	0.9559	0.9562	0.9561	0.9562	3200	53.1900	0.6660
4	50	2	4	0.0041	0.0613	0.1172	0.9545	0.9542	0.9546	0.9544	3200	22.1000	0.6650
4	50	3	5	0.0040	0.0646	0.1170	0.9543	0.9541	0.9547	0.9544	3200	37.1000	0.8733
4	50	5	6	0.0042	0.0639	0.1190	0.9524	0.9521	0.9528	0.9524	3200	57.7800	0.6940
6	50	2	7	0.0040	0.0645	0.1186	0.9503	0.9499	0.9503	0.9501	3200	24.1300	0.6600
6	50	3	8	0.0039	0.0644	0.1193	0.9500	0.9496	0.9507	0.9501	3200	36.5500	0.6600
6	50	5	9	0.0039	0.0635	0.1173	0.9517	0.9516	0.9525	0.9521	3200	59.6200	0.6540
8	50	2	10	0.0039	0.0692	0.1188	0.9447	0.9443	0.9450	0.9447	3200	25.3400	0.6600
8	50	3	11	0.0040	0.0688	0.1185	0.9457	0.9457	0.9456	0.9457	3200	37.2300	0.6500
8	50	5	12	0.0041	0.0699	0.1189	0.9444	0.9440	0.9445	0.9442	3200	61.7900	0.6520
10	50	2	13	0.0037	0.0723	0.1211	0.9389	0.9389	0.9397	0.9393	3200	26.8400	0.6500
10	50	3	14	0.0039	0.0694	0.1208	0.9433	0.9430	0.9435	0.9433	3200	40.0200	0.6500
10	50	5	15	0.0040	0.0705	0.1212	0.9425	0.9424	0.9427	0.9425	3200	67.4600	0.6500
12	50	2	16	0.0043	0.0844	0.1318	0.9280	0.9276	0.9286	0.9281	3200	27.5900	0.6400
12	50	3	17	0.0044	0.0848	0.1324	0.9279	0.9273	0.9280	0.9277	3200	41.6500	0.6433
12	50	5	18	0.0044	0.0837	0.1322	0.9289	0.9288	0.9296	0.9292	3200	69.0100	0.6440
2	100	2	19	0.0030	0.0561	0.0884	0.9572	0.9569	0.9573	0.9571	3200	42.0700	1.3700
2	100	3	20	0.0030	0.0560	0.0893	0.9566	0.9564	0.9570	0.9567	3200	62.8200	1.3700
2	100	5	21	0.0028	0.0530	0.0894	0.9589	0.9585	0.9590	0.9587	3200	104.8400	1.3740
4	100	2	22	0.0021	0.0516	0.0846	0.9563	0.9557	0.9562	0.9559	3200	44.3900	1.3150
4	100	3	23	0.0021	0.0547	0.0847	0.9558	0.9557	0.9562	0.9559	3200	66.6300	1.3300
4	100	5	24	0.0021	0.0535	0.0851	0.9572	0.9569	0.9575	0.9572	3200	110.7900	1.3340
6	100	2	25	0.0020	0.0569	0.0856	0.9525	0.9516	0.9524	0.9520	3200	47.7900	1.2950
6	100	3	26	0.0020	0.0546	0.0862	0.9548	0.9543	0.9552	0.9547	3200	71.5000	1.3067
6	100	5	27	0.0020	0.0561	0.0864	0.9537	0.9534	0.9539	0.9537	3200	119.8500	1.3040
8	100	2	28	0.0021	0.0612	0.0887	0.9502	0.9497	0.9501	0.9499	3200	49.4200	1.2850
8	100	3	29	0.0020	0.0588	0.0870	0.9498	0.9489	0.9500	0.9495	3200	73.1200	1.2833
8	100	5	30	0.0021	0.0597	0.0889	0.9484	0.9484	0.9490	0.9487	3200	121.7900	1.2820
10	100	2	31	0.0021	0.0656	0.0921	0.9425	0.9418	0.9427	0.9423	3200	52.9700	1.2750
10	100	3	32	0.0021	0.0679	0.0940	0.9396	0.9397	0.9399	0.9398	3200	78.5600	1.2600
10	100	5	33	0.0020	0.0658	0.0929	0.9422	0.9419	0.9425	0.9422	3200	131.2900	1.2820
12	100	2	34	0.0022	0.0749	0.1021	0.9350	0.9346	0.9351	0.9349	3200	54.2800	1.2750
12	100	3	35	0.0022	0.0798	0.1047	0.9275	0.9274	0.9279	0.9277	3200	81.7700	1.2667
12	100	5	36	0.0022	0.0753	0.1042	0.9318	0.9316	0.9323	0.9320	3200	136.4700	1.2720
2	150	2	37	0.0023	0.0548	0.0750	0.9534	0.9532	0.9532	0.9532	3200	61.8200	2.0400
2	150	3	38	0.0019	0.0521	0.0735	0.9578	0.9578	0.9580	0.9579	3200	93.4800	2.0100
2	150	5	39	0.0020	0.0513	0.0747	0.9576	0.9575	0.9578	0.9576	3200	155.3300	2.0160
4	150	2	40	0.0015	0.0525	0.0727	0.9563	0.9562	0.9570	0.9566	3200	65.1800	1.9600
4	150	3	41	0.0015	0.0495	0.0727	0.9590	0.9589	0.9593	0.9591	3200	98.3900	1.9567
4	150	5	42	0.0015	0.0510	0.0724	0.9564	0.9561	0.9564	0.9563	3200	164.4300	1.9620
6	150	2	43	0.0014	0.0518	0.0749	0.9548	0.9547	0.9544	0.9546	3200	71.5000	1.9250
6	150	3	44	0.0014	0.0532	0.0751	0.9539	0.9534	0.9540	0.9537	3200	107.1600	1.9233
6	150	5	45	0.0013	0.0552	0.0742	0.9511	0.9511	0.9512	0.9511	3200	182.9500	1.9480
8	150	2	46	0.0014	0.0587	0.0763	0.9484	0.9485	0.9493	0.9489	3200	78.9700	1.9550
8	150	3	47	0.0014	0.0573	0.0776	0.9486	0.9482	0.9487	0.9485	3200	112.1300	1.9200
8	150	5	48	0.0014	0.0583	0.0781	0.9489	0.9486	0.9492	0.9489	3200	186.0400	1.9140
10	150	2	49	0.0013	0.0634	0.0805	0.9442	0.9440	0.9442	0.9441	3200	80.4700	1.9000
10	150	3	50	0.0014	0.0670	0.0810	0.9399	0.9398	0.9402	0.9400	3200	120.9200	1.9133
10	150	5	51	0.0015	0.0606	0.0819	0.9446	0.9446	0.9447	0.9447	3200	200.9200	1.9140
12	150	2	52	0.0015	0.0786	0.0969	0.9273	0.9274	0.9275	0.9274	3200	82.6100	1.8900
12	150	3	53	0.0015	0.0706	0.0925	0.9353	0.9351	0.9362	0.9356	3200	124.4000	1.8967
12	150	5	54	0.0015	0.0776	0.0944	0.9277	0.9271	0.9277	0.9274	3200	206.1700	1.8960
2	200	2	55	0.0018	0.0444	0.0676	0.9619	0.9617	0.9621	0.9619	3200	82.5600	2.6700
2	200	3	56	0.0016	0.0479	0.0682	0.9601	0.9598	0.9602	0.9600	3200	123.5700	2.6833
2	200	5	57	0.0017	0.0487	0.0675	0.9584	0.9583	0.9587	0.9585	3200	207.6400	2.6880
4	200	2	58	0.0011	0.0479	0.0665	0.9583	0.9579	0.9586	0.9582	3200	87.4500	2.6050
4	200	3	59	0.0011	0.0499	0.0662	0.9567	0.9568	0.9570	0.9569	3200	130.6200	2.6233
4	200	5	60	0.0012	0.0495	0.0658	0.9561	0.9558	0.9564	0.9561	3200	217.6000	2.6060
6	200	2	61	0.0011	0.0504	0.0673	0.9561	0.9560	0.9562	0.9561	3200	95.2200	2.5600
6	200	3	62	0.0011	0.0515	0.0668	0.9529	0.9529	0.9532	0.9531	3200	142.8400	2.5900
6	200	5	63	0.0011	0.0495	0.0675	0.9558	0.9558	0.9559	0.9559	3200	239.5700	2.5820
8	200	2	64	0.0011	0.0544	0.0718	0.9506	0.9506	0.9506	0.9506	3200	98.9800	2.5600
8	200	3	65	0.0011	0.0589	0.0706	0.9460	0.9460	0.9460	0.9460	3200	148.5000	2.5700
8	200	5	66	0.0011	0.0547	0.0715	0.9509	0.9507	0.9508	0.9507	3200	248.3400	2.5700
10	200	2	67	0.0011	0.0590	0.0761	0.9459	0.9454	0.9455	0.9455	3200	107.4000	2.5600
10	200	3	68	0.0011	0.0578	0.0757	0.9456	0.9455	0.9464	0.9459	3200	161.3000	2.5633
10	200	5	69	0.0011	0.0614	0.0754	0.9429	0.9424	0.9430	0.9427	3200	268.5300	2.5440
12	200	2	70	0.0012	0.0783	0.0891	0.9252	0.9250	0.9254	0.9252	3200	110.9900	2.5300
12	200	3	71	0.0012	0.0711	0.0860	0.9328	0.9327	0.9326	0.9326	3200	166.9700	2.5567
12	200	5	72	0.0012	0.0713	0.0869	0.9320	0.9318	0.9320	0.9319	3200	276.8900	2.5320
